Rank,Title,Author,Volume Sales,Publisher,Genre
1,"Da Vinci Code,The","Brown, Dan","5,094,805",Transworld,"Crime, Thriller & Adventure"
2,Harry Potter and the Deathly Hallows,"Rowling, J.K.","4,475,152",Bloomsbury,Romance & Sagas
,Harry Potter and the Philosopher's Stone,"Rowling, J.K.","4,200,654",Bloomsbury,Children's Fiction
4,Romance & Sagas,"Rowling, J.K.","4,179,479",Bloomsbury,Romance & Sagas
5,Fifty Shades of Grey,"James, E. L.","3,758,936",Random House,Romance & Sagas
6,Harry Potter and the Goblet of Fire,"Rowling, J.K.","3,583,215",Bloomsbury,Children's Fiction
7,Harry Potter and the Chamber of Secrets,"Rowling, J.K.","3,484,047",Bloomsbury,Children's Fiction
,Harry Potter and the Prisoner of Azkaban,"Rowling, J.K.","3,377,906",Bloomsbury,Children's Fiction
9,Angels and Demons,"Brown, Dan","3,193,946",Transworld,Children's Fiction
10,Harry Potter and the Half-blood Prince:Children's Edition,"Rowling, J.K.","2,950,264",Bloomsbury,Children's Fiction
11,Fifty Shades Darker,"James, E. L.","2,479,784",Random House,Romance & Sagas
