Date,Rank,Title,Author,Volume Sales,,percentage
21-03-2023,1,,"Brown, Dan",,Transworld,52
23-4-2023,2,Harry Potter and the Deathly Hallows,"Rowling, J.K.","4,475,152",,
15-05-2023,,,,"4,200,654",Bloomsbury,
21-06-2023,4,Fifty Shades Darker,,,Bloomsbury,
13-08-2024,,Fifty Shades of Grey,"James, E. L.","3,758,936",Random House,6
14-08-2023,,Harry Potter and the Goblet of Fire,"Rowling, J.K.","3,583,215",,
15-08-2023,,Harry Potter and the Chamber of Secrets,"Rowling, J.K.","3,484,047",Bloomsbury,
28-08-2023,,Harry Potter and the Prisoner of Azkaban,,,Bloomsbury,
18-08-2024,,,"Brown, Dan","3,193,946",,
19-09-2024,,Harry Potter and the Half-blood Prince:Children's Edition,"Rowling, J.K.","2,950,264",Bloomsbury,
31-12-2025,100,Fifty Shades Darker,"James, E. L.","2,479,784",Random House,40
,, ,,,,
